Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","426","Carrots and turnips","2010","2010","LCU","57000","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","426","Carrots and turnips","2011","2011","LCU","65700","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","426","Carrots and turnips","2012","2012","LCU","66700","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","426","Carrots and turnips","2013","2013","LCU","69300","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","426","Carrots and turnips","2010","2010","SLC","57000","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","426","Carrots and turnips","2011","2011","SLC","65700","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","426","Carrots and turnips","2012","2012","SLC","66700","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","426","Carrots and turnips","2013","2013","SLC","69300","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2010","2010","USD","379.2","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2011","2011","USD","427","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2012","2012","USD","423.5","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2013","2013","USD","440.5","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","217","Cashew nuts, with shell","2010","2010","LCU","72760","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","217","Cashew nuts, with shell","2011","2011","LCU","68010","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","217","Cashew nuts, with shell","2012","2012","LCU","75420","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","217","Cashew nuts, with shell","2013","2013","LCU","71010","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","217","Cashew nuts, with shell","2010","2010","SLC","72760","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","217","Cashew nuts, with shell","2011","2011","SLC","68010","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","217","Cashew nuts, with shell","2012","2012","SLC","75420","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","217","Cashew nuts, with shell","2013","2013","SLC","71010","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","217","Cashew nuts, with shell","2010","2010","USD","484.1","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","217","Cashew nuts, with shell","2011","2011","USD","442","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","217","Cashew nuts, with shell","2012","2012","USD","478.9","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","217","Cashew nuts, with shell","2013","2013","USD","451.4","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","1991","1991","LCU","2066","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","1992","1992","LCU","2340","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","1993","1993","LCU","4640","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","1994","1994","LCU","4450","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","1995","1995","LCU","6610","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","1996","1996","LCU","10570","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","1997","1997","LCU","11860","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","1998","1998","LCU","11510","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","1999","1999","LCU","13620","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","2001","2001","LCU","18300","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","2002","2002","LCU","23080","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","2003","2003","LCU","22010","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","2004","2004","LCU","19340","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","2005","2005","LCU","21920","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","2006","2006","LCU","24090","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","2007","2007","LCU","21960","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","2008","2008","LCU","33646","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","2009","2009","LCU","17980","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","2010","2010","LCU","21410","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","2011","2011","LCU","22100","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","2012","2012","LCU","23920","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5530","Producer Price (LCU/tonne)","125","Cassava","2013","2013","LCU","25100","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","1991","1991","SLC","2066","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","1992","1992","SLC","2340","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","1993","1993","SLC","4640","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","1994","1994","SLC","4450","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","1995","1995","SLC","6610","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","1996","1996","SLC","10570","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","1997","1997","SLC","11860","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","1998","1998","SLC","11510","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","1999","1999","SLC","13620","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","2001","2001","SLC","18300","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","2002","2002","SLC","23080","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","2003","2003","SLC","22010","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","2004","2004","SLC","19340","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","2005","2005","SLC","21920","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","2006","2006","SLC","24090","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","2007","2007","SLC","21960","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","2008","2008","SLC","33646","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","2009","2009","SLC","17980","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","2010","2010","SLC","21410","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","2011","2011","SLC","22100","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","2012","2012","SLC","23920","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5531","Producer Price (SLC/tonne)","125","Cassava","2013","2013","SLC","25100","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","1991","1991","USD","208.5","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","1992","1992","USD","135.3","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","1993","1993","USD","210.3","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","1994","1994","USD","130.2","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","1995","1995","USD","98.1","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","1996","1996","USD","120.3","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","1997","1997","USD","135.9","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","1998","1998","USD","143.7","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","1999","1999","USD","147.5","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2001","2001","USD","164.5","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2002","2002","USD","191.4","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2003","2003","USD","170.3","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2004","2004","USD","145.5","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2005","2005","USD","167","","Official data"
"PP","Producer Prices - Annual","159","Nigeria","5532","Producer Price (USD/tonne)","125","Cassava","2006","2006","USD","187.2","","Official data"
