Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1981","1981","ha","1000","*","Unofficial figure"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1982","1982","ha","1000","*","Unofficial figure"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1983","1983","ha","1000","*","Unofficial figure"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1984","1984","ha","1000","*","Unofficial figure"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1985","1985","ha","1000","*","Unofficial figure"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1986","1986","ha","1000","*","Unofficial figure"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1987","1987","ha","1000","*","Unofficial figure"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1988","1988","ha","1000","F","FAO estimate"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1989","1989","ha","1000","F","FAO estimate"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1990","1990","ha","1107","Im","FAO data based on imputation methodology"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1991","1991","ha","1000","F","FAO estimate"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1992","1992","ha","1000","F","FAO estimate"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1993","1993","ha","1000","F","FAO estimate"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1994","1994","ha","1000","F","FAO estimate"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1995","1995","ha","1000","F","FAO estimate"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1996","1996","ha","1000","F","FAO estimate"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1997","1997","ha","1000","F","FAO estimate"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1998","1998","ha","1000","F","FAO estimate"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","1999","1999","ha","1000","F","FAO estimate"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","2000","2000","ha","1000","F","FAO estimate"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","2001","2001","ha","1000","F","FAO estimate"
"QC","Crops","159","Nigeria","5312","Area harvested","782","Bastfibres, other","2002","2002","ha","1000","F","FAO estimate"
